From Bus  Number,From Bus  Name,To Bus  Number,To Bus  Name,Id,Name,Line R (pu),Line X (pu),Charging B (pu),RATE1 (I as MVA),RATE2 (I as MVA),RATE3 (I as MVA),Length,R-Zero (pu),X-Zero (pu),B-Zero (pu),Zbase,R (ohm),X (ohm),Charging B (ohm),R-Zero (ohm),X-Zero (ohm),B-Zero (ohm)
10711,BLHI1J      132.00,15413,KEIT1K      132.00,1,,0.000429,0.002582,0.04733,176,176,176,3.26,0.00151,0.00109,0.04733,174.24,0.075,0.450,,0.263,0.190,
10711,BLHI1J      132.00,28411,DORE11      132.00,1,,0.01171,0.05295,0.01286,203,193,176,23.45,0.03115,0.18511,0.00818,174.24,2.040,9.226,,5.428,32.254,
10712,BLHI1K      132.00,15412,KEIT1J      132.00,1,,0.000429,0.002582,0.04733,176,176,176,3.26,0.00151,0.00109,0.04733,174.24,0.075,0.450,,0.263,0.190,
10712,BLHI1K      132.00,28412,DORE12      132.00,1,,0.01171,0.05297,0.01318,203,193,176,23.45,0.03116,0.18512,0.0085,174.24,2.040,9.229,,5.429,32.255,
10720,BLHI2J      275.00,10729,BLHI2K      275.00,1,,0.0001,0.0001,0,9999,9999,9999,0,0.0001,0.0001,0,756.25,0.076,0.076,,0.076,0.076,
10720,BLHI2J      275.00,15421,KEIT2Q      275.00,1,,0.0001,0.00044,0.13793,580,546,546,2.41,0.00016,0.00031,0.13793,756.25,0.076,0.333,,0.121,0.234,
10720,BLHI2J      275.00,15829,KINT2K      275.00,2,,0.00298,0.0208,0.1414,935,880,790,50.85,0.01078,0.0573,0.08543,756.25,2.254,15.730,,8.152,43.333,
10720,BLHI2J      275.00,22721,BERB2Q      275.00,1,,0.002619,0.019044,0.12613,935,880,790,46.26,0.01001,0.05758,0.07688,756.25,1.981,14.402,,7.570,43.545,
10725,CAIN2-      275.00,10729,BLHI2K      275.00,1,,0.000573,0.003997,0.02717,935,880,790,9.77,0.00207,0.01101,0.01641,756.25,0.433,3.023,,1.565,8.326,
10725,CAIN2-      275.00,15820,KINT2J      275.00,1,,0.002407,0.016803,0.11423,935,880,790,41.08,0.00871,0.04629,0.06901,756.25,1.820,12.707,,6.587,35.007,
10729,BLHI2K      275.00,15422,KEIT2R      275.00,2,,0.0001,0.000456,0.14286,580,546,546,2.49,0.00017,0.00032,0.14286,756.25,0.076,0.345,,0.129,0.242,
10729,BLHI2K      275.00,21920,DAAS2-      275.00,1,,0.00187,0.013593,0.09003,935,880,790,33.02,0.00715,0.0411,0.05488,756.25,1.414,10.280,,5.407,31.082,
10729,BLHI2K      275.00,109820,BLHL2-      275.00,1,,0.0001,0.0001,0,9999,9999,9999,0,0.0001,0.0001,0,756.25,0.076,0.076,,0.076,0.076,
